Activation fn,Dataset,Learning Rate,Epoch 5,,Epoch 10,,Extra
,,,Acc(%),Top5Acc(%),Acc(%),Top5Acc(%),
Mish,CIFAR10,0.01,73.22,97.69,80.5,98.99,Overfits
Mish,CIFAR10,0.005,76.1,98.81,81.61,99.11,
Mish,CIFAR10,0.001,78.65,98.71,81.72,99.22,
Mish,CIFAR100,0.01,48.4,79.52,56.34,85.4,
Mish,CIFAR100,0.005,51.04,82.11,58.36,86.24,
Mish,CIFAR100,0.001,51.18,82.02,56.85,85.32,
ReLU,CIFAR10,0.01,75.14,98.09,80.79,98.94,
ReLU,CIFAR10,0.005,76.37,98.61,82.14,99.25,
ReLU,CIFAR10,0.001,78.4,98.96,81.47,99.14,
ReLU,CIFAR100,0.01,46.29,78.76,56.71,85.1,
ReLU,CIFAR100,0.005,50.32,81,57.8,86,
ReLU,CIFAR100,0.001,51.5,82.01,57.67,85.51,
